Ticket Number,Status,Creator Area,Use Case,Subject,Priority,Description,Start,SLA Ticket,Network Element Identifier,Loc Identifier,Assignee Area,Response Subject,Response Description
Z_INM200013A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVRIVA; detected event: high cpu usage,3/5/2026 0:43,3/8/2026 0:43,OXVRIVA,SOP06,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Hardware module reset remotely. Traffic restored without errors. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200014A001,Closed,G-IP-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVCUEP; detected event: high cpu usage,3/5/2026 0:44,3/5/2026 17:44,OXVCUEP,SSUO4,G-RAN-FO-VFRO-ZV,No impact confirmed,Alarm cleared automatically after transient spike. No further action required.
Z_INM200015A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Link Down,5,RoboNOC ticket for OXVCJ02; detected event: link down,3/5/2026 0:45,3/6/2026 2:45,OXVCJ02,KOWH4,G-CORE-OPS,Root cause fixed,Configuration rollback applied to previous stable version.
Z_INM200016A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXV62WQ; detected event: transport congestion,3/5/2026 0:46,3/7/2026 20:46,OXV62WQ,OM45F,G-RAN-FO-VFRO-ZV,Issue resolved,"Temporary degradation observed, system self-recovered."
Z_INM200017A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXV9LJL; detected event: störung - rbs - huawei 4g,3/5/2026 0:47,3/5/2026 13:47,OXV9LJL,2OGBX,G-RAN-FO-VFRO-ZV,Root cause fixed,Capacity threshold updated to prevent future false alerts. Additional validation checks completed successfully.
Z_INM200018A001,Open,G-CORE-OPS,Network-Incident,Link Down,1,RoboNOC ticket for OXVOSYC; detected event: link down,3/5/2026 0:48,3/7/2026 15:48,OXVOSYC,U9A3E,G-CORE-OPS,Monitoring ongoing,Signal fluctuation detected; no persistent fault found.
Z_INM200019A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVGYUD; detected event: transport congestion,3/5/2026 0:49,3/6/2026 21:49,OXVGYUD,20C3P,G-RAN-FO-VFRO-ZV,No impact confirmed,CPU spike resolved after process optimization. Additional validation checks completed successfully.
Z_INM200020A001,Open,G-IP-OPS,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXV1AZT; detected event: packet loss detected,3/5/2026 0:50,3/6/2026 6:50,OXV1AZT,DDWMD,G-RAN-BO-VFRO-ZV,Root cause fixed,"Escalated to vendor, fix applied and verified. Additional validation checks completed successfully."
Z_INM200021A001,Open,G-IP-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXV49JD; detected event: high cpu usage,3/5/2026 0:51,3/7/2026 21:51,OXV49JD,K17LO,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,CPU spike resolved after process optimization.
Z_INM200022A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXV4B6Z; detected event: transport congestion,3/5/2026 0:52,3/5/2026 2:52,OXV4B6Z,JP17L,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Configuration rollback applied to previous stable version.
Z_INM200023A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Link Down,5,RoboNOC ticket for OXV3B8R; detected event: link down,3/5/2026 0:53,3/7/2026 13:53,OXV3B8R,M86OW,G-CORE-OPS,Issue resolved,Manual intervention performed: service restarted and stability confirmed.
Z_INM200024A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXVR0UL; detected event: packet loss detected,3/5/2026 0:54,3/7/2026 9:54,OXVR0UL,PX5DW,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,"Escalated to vendor, fix applied and verified."
Z_INM200025A001,Closed,G-IP-OPS,Network-Incident,Link Down,2,RoboNOC ticket for OXVIS46; detected event: link down,3/5/2026 0:55,3/6/2026 19:55,OXVIS46,CV36R,G-IP-OPS,No impact confirmed,Hardware module reset remotely. Traffic restored without errors.
Z_INM200026A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXV7ES0; detected event: transport congestion,3/5/2026 0:56,3/5/2026 1:56,OXV7ES0,97CXU,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Capacity threshold updated to prevent future false alerts.
Z_INM200027A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Packet Loss Detected,4,RoboNOC ticket for OXVHS8B; detected event: packet loss detected,3/5/2026 0:57,3/7/2026 14:57,OXVHS8B,HA1MX,G-IP-OPS,Issue resolved,Hardware module reset remotely. Traffic restored without errors. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200028A001,In Progress,G-IP-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVHFK3; detected event: high cpu usage,3/5/2026 0:58,3/5/2026 23:58,OXVHFK3,41Y0I,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,"Intermittent issue mitigated, root cause still under observation. No recurrence observed in the last monitoring window."
Z_INM200029A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,4,RoboNOC ticket for OXVKAMW; detected event: packet loss detected,3/5/2026 0:59,3/6/2026 8:59,OXVKAMW,XLJHV,G-IP-OPS,No impact confirmed,Alarm cleared automatically after transient spike. No further action required. Additional validation checks completed successfully.
Z_INM200030A001,Open,G-IP-OPS,Network-Incident,Packet Loss Detected,4,RoboNOC ticket for OXV26R9; detected event: packet loss detected,3/5/2026 1:00,3/6/2026 6:00,OXV26R9,1JL4Z,G-RAN-BO-VFRO-ZV,No impact confirmed,Manual intervention performed: service restarted and stability confirmed.
Z_INM200031A001,Open,G-IP-OPS,Network-Incident,Link Down,2,RoboNOC ticket for OXVY50I; detected event: link down,3/5/2026 1:01,3/5/2026 7:01,OXVY50I,J1FAO,G-RAN-FO-VFRO-ZV,No impact confirmed,Alarm cleared after software patch deployment. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200032A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVVP75; detected event: high cpu usage,3/5/2026 1:02,3/7/2026 6:02,OXVVP75,WP9EO,G-CORE-OPS,No impact confirmed,Alarm cleared after software patch deployment. No recurrence observed in the last monitoring window.
Z_INM200033A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVLD60; detected event: transport congestion,3/5/2026 1:03,3/6/2026 15:03,OXVLD60,Q11PT,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Transport link restored after provider-side fix. Monitoring continued.
Z_INM200034A001,Closed,G-IP-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXV0ZAM; detected event: high cpu usage,3/5/2026 1:04,3/6/2026 11:04,OXV0ZAM,2W5WX,G-IP-OPS,Issue resolved,"Escalated to vendor, fix applied and verified. Additional validation checks completed successfully."
Z_INM200035A001,Closed,G-IP-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXV7ZRP; detected event: high cpu usage,3/5/2026 1:05,3/6/2026 18:05,OXV7ZRP,9VX2D,G-RAN-BO-VFRO-ZV,Issue resolved,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully.
Z_INM200036A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,2,RoboNOC ticket for OXVSYCM; detected event: störung - rbs - huawei 4g,3/5/2026 1:06,3/7/2026 12:06,OXVSYCM,X34H4,G-RAN-FO-VFRO-ZV,Root cause fixed,Root cause identified as configuration mismatch. Parameters adjusted accordingly.
Z_INM200037A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVZ05T; detected event: störung - rbs - huawei 4g,3/5/2026 1:07,3/8/2026 0:07,OXVZ05T,GYKMM,G-IP-OPS,Issue resolved,Service impact minimal; corrective action implemented.
Z_INM200038A001,Closed,G-IP-OPS,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXVDM34; detected event: transport congestion,3/5/2026 1:08,3/6/2026 2:08,OXVDM34,G7143,G-RAN-FO-VFRO-ZV,Root cause fixed,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully.
Z_INM200039A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,2,RoboNOC ticket for OXVPAG6; detected event: störung - rbs - huawei 4g,3/5/2026 1:09,3/6/2026 0:09,OXVPAG6,NL6ON,G-IP-OPS,No impact confirmed,"Temporary degradation observed, system self-recovered. Additional validation checks completed successfully."
Z_INM200040A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXV4TF3; detected event: transport congestion,3/5/2026 1:10,3/6/2026 12:10,OXV4TF3,PTUHG,G-RAN-FO-VFRO-ZV,No impact confirmed,Ticket closed after validation checks passed.
Z_INM200041A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXVQZ55; detected event: packet loss detected,3/5/2026 1:11,3/8/2026 1:11,OXVQZ55,HYD80,G-RAN-BO-VFRO-ZV,No impact confirmed,"Temporary degradation observed, system self-recovered."
Z_INM200042A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Link Down,2,RoboNOC ticket for OXVWGLV; detected event: link down,3/5/2026 1:12,3/6/2026 8:12,OXVWGLV,2TKHM,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Root cause identified as configuration mismatch. Parameters adjusted accordingly. Additional validation checks completed successfully.
Z_INM200043A001,In Progress,G-CORE-OPS,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXVVCE9; detected event: transport congestion,3/5/2026 1:13,3/5/2026 14:13,OXVVCE9,QP9JI,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Root cause identified as configuration mismatch. Parameters adjusted accordingly. Additional validation checks completed successfully.
Z_INM200044A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVSHI7; detected event: high cpu usage,3/5/2026 1:14,3/7/2026 17:14,OXVSHI7,XB217,G-IP-OPS,Issue resolved,Network element unreachable briefly; connectivity restored.
Z_INM200045A001,Open,G-CORE-OPS,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXVQQPR; detected event: packet loss detected,3/5/2026 1:15,3/5/2026 19:15,OXVQQPR,4XT7M,G-RAN-FO-VFRO-ZV,Issue resolved,Manual intervention performed: service restarted and stability confirmed.
Z_INM200046A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Packet Loss Detected,2,RoboNOC ticket for OXVYN4U; detected event: packet loss detected,3/5/2026 1:16,3/6/2026 2:16,OXVYN4U,BP340,G-RAN-BO-VFRO-ZV,Issue resolved,Issue correlated with planned maintenance. No action needed.
Z_INM200047A001,Closed,G-CORE-OPS,Network-Incident,Packet Loss Detected,4,RoboNOC ticket for OXVFD0Z; detected event: packet loss detected,3/5/2026 1:17,3/6/2026 0:17,OXVFD0Z,QEUO8,G-CORE-OPS,No impact confirmed,Network element unreachable briefly; connectivity restored. Additional validation checks completed successfully.
Z_INM200048A001,Open,G-IP-OPS,Network-Incident,Link Down,4,RoboNOC ticket for OXVHCFZ; detected event: link down,3/5/2026 1:18,3/6/2026 19:18,OXVHCFZ,DVDBY,G-RAN-BO-VFRO-ZV,Root cause fixed,Configuration rollback applied to previous stable version.
Z_INM200049A001,Closed,G-IP-OPS,Network-Incident,Link Down,2,RoboNOC ticket for OXV8TEN; detected event: link down,3/5/2026 1:19,3/5/2026 13:19,OXV8TEN,C4ZK8,G-CORE-OPS,Monitoring ongoing,Configuration rollback applied to previous stable version. Additional validation checks completed successfully.
Z_INM200050A001,Closed,G-IP-OPS,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXV350F; detected event: störung - rbs - huawei 4g,3/5/2026 1:20,3/5/2026 10:20,OXV350F,DONIG,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Root cause identified as configuration mismatch. Parameters adjusted accordingly.
Z_INM200051A001,Closed,G-CORE-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVXN9P; detected event: high cpu usage,3/5/2026 1:21,3/6/2026 11:21,OXVXN9P,MGVMF,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Network element unreachable briefly; connectivity restored. Additional validation checks completed successfully.
Z_INM200052A001,Closed,G-IP-OPS,Network-Incident,Link Down,5,RoboNOC ticket for OXVRSTX; detected event: link down,3/5/2026 1:22,3/6/2026 21:22,OXVRSTX,WMDJ3,G-IP-OPS,Root cause fixed,Problem resolved during investigation; no reproducible issue.
Z_INM200053A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVUHMU; detected event: transport congestion,3/5/2026 1:23,3/6/2026 14:23,OXVUHMU,XI2KP,G-RAN-FO-VFRO-ZV,Issue resolved,CPU spike resolved after process optimization. No recurrence observed in the last monitoring window.
Z_INM200054A001,Open,G-CORE-OPS,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXVFOD5; detected event: packet loss detected,3/5/2026 1:24,3/6/2026 1:24,OXVFOD5,9TG4F,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Manual intervention performed: service restarted and stability confirmed.
Z_INM200055A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXVRGQF; detected event: störung - rbs - huawei 4g,3/5/2026 1:25,3/6/2026 19:25,OXVRGQF,SO04G,G-RAN-BO-VFRO-ZV,No impact confirmed,"Temporary degradation observed, system self-recovered."
Z_INM200056A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVMCQH; detected event: transport congestion,3/5/2026 1:26,3/6/2026 8:26,OXVMCQH,UB9B6,G-RAN-FO-VFRO-ZV,Root cause fixed,"Intermittent issue mitigated, root cause still under observation. Additional validation checks completed successfully."
Z_INM200057A001,Closed,G-IP-OPS,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXV0O1A; detected event: transport congestion,3/5/2026 1:27,3/6/2026 22:27,OXV0O1A,R0KT0,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Issue correlated with planned maintenance. No action needed.
Z_INM200058A001,Closed,G-CORE-OPS,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXV6N5C; detected event: transport congestion,3/5/2026 1:28,3/7/2026 10:28,OXV6N5C,F4ITJ,G-RAN-FO-VFRO-ZV,Issue resolved,Alarm cleared after software patch deployment. Additional validation checks completed successfully.
Z_INM200059A001,In Progress,G-IP-OPS,Network-Incident,Link Down,2,RoboNOC ticket for OXVXPK7; detected event: link down,3/5/2026 1:29,3/6/2026 17:29,OXVXPK7,5SWIT,G-CORE-OPS,Monitoring ongoing,Alarm cleared after software patch deployment. Additional validation checks completed successfully.
Z_INM200060A001,Open,G-CORE-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVV5KC; detected event: high cpu usage,3/5/2026 1:30,3/5/2026 2:30,OXVV5KC,2V6WQ,G-CORE-OPS,Issue resolved,"Escalated to vendor, fix applied and verified."
Z_INM200061A001,Closed,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVMD3U; detected event: störung - rbs - huawei 4g,3/5/2026 1:31,3/6/2026 15:31,OXVMD3U,GJZU3,G-RAN-FO-VFRO-ZV,Root cause fixed,"Intermittent issue mitigated, root cause still under observation. Additional validation checks completed successfully."
Z_INM200062A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,3,RoboNOC ticket for OXVR1EO; detected event: high cpu usage,3/5/2026 1:32,3/7/2026 22:32,OXVR1EO,J62R8,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Alarm cleared automatically after transient spike. No further action required. No recurrence observed in the last monitoring window.
Z_INM200063A001,In Progress,G-IP-OPS,Network-Incident,Link Down,5,RoboNOC ticket for OXVNHHW; detected event: link down,3/5/2026 1:33,3/5/2026 15:33,OXVNHHW,0G9HU,G-RAN-FO-VFRO-ZV,Monitoring ongoing,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully.
Z_INM200064A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVDI52; detected event: störung - rbs - huawei 4g,3/5/2026 1:34,3/7/2026 18:34,OXVDI52,SDQEV,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,False positive alarm generated by monitoring system. Ticket closed. No recurrence observed in the last monitoring window.
Z_INM200065A001,Closed,G-CORE-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVMOD9; detected event: high cpu usage,3/5/2026 1:35,3/5/2026 20:35,OXVMOD9,0YYCO,G-RAN-BO-VFRO-ZV,Root cause fixed,High load condition normalized after capacity rebalancing.
Z_INM200066A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXVLYY0; detected event: packet loss detected,3/5/2026 1:36,3/7/2026 2:36,OXVLYY0,5B33A,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,"Intermittent issue mitigated, root cause still under observation. No recurrence observed in the last monitoring window."
Z_INM200067A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVW581; detected event: high cpu usage,3/5/2026 1:37,3/7/2026 20:37,OXVW581,9G084,G-RAN-FO-VFRO-ZV,No impact confirmed,"Temporary degradation observed, system self-recovered."
Z_INM200068A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVQRVR; detected event: störung - rbs - huawei 4g,3/5/2026 1:38,3/5/2026 2:38,OXVQRVR,APNQN,G-RAN-FO-VFRO-ZV,Monitoring ongoing,Alarm cleared automatically after transient spike. No further action required.
Z_INM200069A001,In Progress,G-IP-OPS,Network-Incident,High CPU Usage,3,RoboNOC ticket for OXVS5ML; detected event: high cpu usage,3/5/2026 1:39,3/6/2026 14:39,OXVS5ML,V2RO1,G-IP-OPS,Issue resolved,"Escalated to vendor, fix applied and verified."
Z_INM200070A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVMOCP; detected event: high cpu usage,3/5/2026 1:40,3/7/2026 15:40,OXVMOCP,TJOQ1,G-RAN-BO-VFRO-ZV,Issue resolved,Capacity threshold updated to prevent future false alerts. Additional validation checks completed successfully.
Z_INM200071A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXV5PRX; detected event: transport congestion,3/5/2026 1:41,3/7/2026 17:41,OXV5PRX,6JZQG,G-RAN-FO-VFRO-ZV,Issue resolved,Problem resolved during investigation; no reproducible issue.
Z_INM200072A001,In Progress,G-IP-OPS,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXVZ0M2; detected event: störung - rbs - huawei 4g,3/5/2026 1:42,3/7/2026 13:42,OXVZ0M2,4O965,G-CORE-OPS,Root cause fixed,Manual intervention performed: service restarted and stability confirmed. Additional validation checks completed successfully.
Z_INM200073A001,Open,G-CORE-OPS,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXV3TY1; detected event: packet loss detected,3/5/2026 1:43,3/6/2026 15:43,OXV3TY1,DC5AM,G-CORE-OPS,Monitoring ongoing,Signal fluctuation detected; no persistent fault found. Additional validation checks completed successfully.
Z_INM200074A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVMDUG; detected event: transport congestion,3/5/2026 1:44,3/6/2026 6:44,OXVMDUG,IXM2C,G-RAN-FO-VFRO-ZV,Root cause fixed,Manual intervention performed: service restarted and stability confirmed. Additional validation checks completed successfully.
Z_INM200075A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXV11ZL; detected event: transport congestion,3/5/2026 1:45,3/6/2026 5:45,OXV11ZL,A12WK,G-RAN-FO-VFRO-ZV,Monitoring ongoing,"Temporary degradation observed, system self-recovered."
Z_INM200076A001,In Progress,G-CORE-OPS,Network-Incident,Link Down,5,RoboNOC ticket for OXV0HQ0; detected event: link down,3/5/2026 1:46,3/6/2026 20:46,OXV0HQ0,ZD5LR,G-CORE-OPS,Issue resolved,CPU spike resolved after process optimization.
Z_INM200077A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXV79O2; detected event: transport congestion,3/5/2026 1:47,3/6/2026 19:47,OXV79O2,NW7L7,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Ticket closed after validation checks passed.
Z_INM200078A001,In Progress,G-CORE-OPS,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXVOM20; detected event: transport congestion,3/5/2026 1:48,3/7/2026 15:48,OXVOM20,SVSSI,G-RAN-BO-VFRO-ZV,No impact confirmed,"Intermittent issue mitigated, root cause still under observation."
Z_INM200079A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Link Down,1,RoboNOC ticket for OXVL86W; detected event: link down,3/5/2026 1:49,3/6/2026 1:49,OXVL86W,W4X5B,G-RAN-BO-VFRO-ZV,No impact confirmed,Capacity threshold updated to prevent future false alerts.
Z_INM200080A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVGFXA; detected event: high cpu usage,3/5/2026 1:50,3/7/2026 8:50,OXVGFXA,PF5ZJ,G-RAN-BO-VFRO-ZV,Issue resolved,Configuration rollback applied to previous stable version.
Z_INM200081A001,Open,G-IP-OPS,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVUMG8; detected event: störung - rbs - huawei 4g,3/5/2026 1:51,3/5/2026 3:51,OXVUMG8,GSN4P,G-CORE-OPS,Root cause fixed,Ticket closed after validation checks passed.
Z_INM200082A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVLE4R; detected event: transport congestion,3/5/2026 1:52,3/5/2026 13:52,OXVLE4R,86VX6,G-IP-OPS,Root cause fixed,Alarm cleared automatically after transient spike. No further action required. No recurrence observed in the last monitoring window.
Z_INM200083A001,Closed,G-IP-OPS,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXV46EG; detected event: packet loss detected,3/5/2026 1:53,3/6/2026 12:53,OXV46EG,GQBMY,G-CORE-OPS,Root cause fixed,Capacity threshold updated to prevent future false alerts.
Z_INM200084A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVBGJ8; detected event: high cpu usage,3/5/2026 1:54,3/5/2026 17:54,OXVBGJ8,S2LTL,G-IP-OPS,No impact confirmed,Manual intervention performed: service restarted and stability confirmed.
